인텔® 제품 사양 비교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/05 01:25:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메모리 유형,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,DDR4-2933,DDR4-2933,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s
최대 메모리 채널 수,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
최대 메모리 대역폭,76.8 GB/s,76.8 GB/s,,,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,45.8 GB/s,45.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,,89.6 GB/s,,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s
ECC 메모리 지원 ‡,예,예,아니요,아니요,예,,예,,예,아니요,아니요,예,예,아니요,예,,예,예,,예,아니요,,아니요,예,예,예,,아니요,,Yes,,Yes,Yes,,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPU Specifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPU 이름 ‡,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics 770,,Intel® UHD Graphics 770,,Intel® UHD Graphics 770,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 770,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® UHD Graphics 770,,Intel® UHD Graphics 770,Intel® UHD Graphics 770,,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics 770,,Intel® UHD Graphics 770,Intel® UHD Graphics 770,,Intel® UHD Graphics 770
그래픽 기본 주파수,300 MHz,300 MHz,,,300 MHz,,300 MHz,,300 MHz,350 MHz,350 MHz,300 MHz,,,300 MHz,,300 MHz,300 MHz,,300 MHz,,,,,300 MHz,300 MHz,,,,300 MHz,,300 MHz,300 MHz,,300 MHz
그래픽 최대 동적 주파수,1.55 GHz,1.55 GHz,1.45 GHz,1.45 GHz,1.55 GHz,,1.55 GHz,,1.55 GHz,1.20 GHz,1.20 GHz,1.55 GHz,1.55 GHz,1.55 GHz,1.65 GHz,,1.65 GHz,1.65 GHz,,1.65 GHz,1.50 GHz,1.65 GHz,1.50 GHz,1.65 GHz,1.65 GHz,1.65 GHz,1.65 GHz,1.50 GHz,1.65 GHz,1.65 GHz,,1.65 GHz,1.65 GHz,,1.65 GHz
그래픽 출력,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,eDP 1.4b |  DP 1.4a |  HDMI 2.1
Execution Unit,32,32,96,96,32,,32,,32,,,32,32,32,32,,32,32,,32,96,32,96,32,32,32,32,96,32,32,,32,32,,32
최대 해상도(HDMI)‡,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz
최대 해상도(DP)‡,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,7680 x 4320 @ 60Hz,,7680 x 4320 @ 60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,7680 x 4320 @ 60Hz
최대 해상도(eDP - 통합 평판),5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,,5120 x 3200 @ 120Hz,,5120 x 3200 @ 120Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,,5120 x 3200 @ 120Hz
DirectX* 지원,12,12,12.1,12.1,12,,12,,12,12,12,12,12.1,12.1,12,,12,12,,12,12.1,12.1,12.1,12.1,12,12,12.1,12.1,12.1,12,,12,12,,12
OpenGL* 지원,4.5,4.5,4.6,4.6,4.5,,4.5,,4.5,4.5,4.5,4.5,4.6,4.6,4.5,,4.5,4.5,,4.5,4.6,4.6,4.6,4.6,4.5,4.5,4.6,4.6,4.6,4.5,,4.5,4.5,,4.5
OpenCL* 지원,2.1,2.1,3.0,3.0,3.0,,3.0,,3.0,,,3.0,3.0,3.0,3.0,,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,,3.0
멀티포맷 코덱 엔진,2,2,2,2,2,,2,,2,,,2,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2
인텔® 퀵 싱크 비디오,예,예,예,예,예,,예,,예,예,예,예,예,예,예,,예,예,,예,예,예,예,예,예,예,예,예,Yes,Yes,,Yes,Yes,,Yes
인텔® 클리어 비디오 HD 기술,예,예,,,예,,예,,예,예,예,예,,,예,,예,예,,예,,,,,예,예,,,,Yes,,Yes,Yes,,Yes
지원되는 디스플레이 수 ‡,4,4,4,4,4,,4,,4,3,3,4,4,4,4,,4,4,,4,4,4,4,4,4,4,4,4,4,4,,4,4,,4
장치 ID,0x4680,0x4680,0x46A6,0x46A6,0x4680,,0x4680,,0x4680,0x9BC5,0x9BC5,0x4680,0x4688,0x4688,0xA780,,0xA780,0xA780,,0xA780,0xA7A0,0xA788,0xA7A0,0xA788,0xA780,0xA780,0xA788,0xA7A0,0xA788,0xA780,,0xA780,0xA780,,0xA780
